tenant,feature,month,events,max_rows
adventure-works,export,2026-07,31,1191545
adventure-works,export,2026-08,44,1820616
adventure-works,export,2026-09,92,1147716
adventure-works,scheduled_export,2026-07,21,1191545
adventure-works,scheduled_export,2026-08,32,1820616
adventure-works,scheduled_export,2026-09,69,1147716
alpine,export,2026-07,60,1188413
alpine,export,2026-08,53,465221
alpine,export,2026-09,26,2425591
alpine,scheduled_export,2026-07,34,1188413
alpine,scheduled_export,2026-08,36,465221
alpine,scheduled_export,2026-09,78,2425591
bellows,export,2026-07,58,1392194
bellows,export,2026-08,45,1629152
bellows,export,2026-09,74,2046245
bellows,scheduled_export,2026-07,15,1392194
bellows,scheduled_export,2026-08,36,1629152
bellows,scheduled_export,2026-09,74,2046245
blue-yonder,export,2026-07,22,1652398
blue-yonder,export,2026-08,6,2254610
blue-yonder,export,2026-09,80,1434037
blue-yonder,scheduled_export,2026-07,33,1652398
blue-yonder,scheduled_export,2026-08,19,2254610
blue-yonder,scheduled_export,2026-09,61,1434037
coho,export,2026-07,92,1133989
coho,export,2026-08,81,459681
coho,export,2026-09,67,280231
coho,scheduled_export,2026-07,13,1133989
coho,scheduled_export,2026-08,45,459681
coho,scheduled_export,2026-09,59,280231
consolidated,export,2026-07,16,1784591
consolidated,export,2026-08,113,326658
consolidated,export,2026-09,57,1926694
consolidated,scheduled_export,2026-07,42,1784591
consolidated,scheduled_export,2026-08,21,326658
consolidated,scheduled_export,2026-09,33,1926694
contoso,export,2026-07,109,2433743
contoso,export,2026-08,62,1233892
contoso,export,2026-09,77,1307462
contoso,scheduled_export,2026-07,28,2433743
contoso,scheduled_export,2026-08,32,1233892
contoso,scheduled_export,2026-09,56,1307462
fabrikam,export,2026-07,13,230218
fabrikam,export,2026-08,59,751710
fabrikam,export,2026-09,91,231903
fabrikam,scheduled_export,2026-07,22,230218
fabrikam,scheduled_export,2026-08,34,751710
fabrikam,scheduled_export,2026-09,55,231903
fourth-coffee,export,2026-07,13,1748039
fourth-coffee,export,2026-08,36,1880796
fourth-coffee,export,2026-09,90,2061951
fourth-coffee,scheduled_export,2026-07,47,1748039
fourth-coffee,scheduled_export,2026-08,16,1880796
fourth-coffee,scheduled_export,2026-09,80,2061951
graphic-design,export,2026-07,28,1405477
graphic-design,export,2026-08,34,2316321
graphic-design,export,2026-09,65,1989478
graphic-design,scheduled_export,2026-07,48,1405477
graphic-design,scheduled_export,2026-08,37,2316321
graphic-design,scheduled_export,2026-09,30,1989478
humongous,export,2026-07,64,636128
humongous,export,2026-08,16,433204
humongous,export,2026-09,90,2023485
humongous,scheduled_export,2026-07,53,636128
humongous,scheduled_export,2026-08,32,433204
humongous,scheduled_export,2026-09,28,2023485
litware,export,2026-07,100,1495681
litware,export,2026-08,120,2485704
litware,export,2026-09,81,1860646
litware,scheduled_export,2026-07,11,1495681
litware,scheduled_export,2026-08,54,2485704
litware,scheduled_export,2026-09,75,1860646
lucerne,export,2026-07,10,1663817
lucerne,export,2026-08,47,1125857
lucerne,export,2026-09,13,1406017
lucerne,scheduled_export,2026-07,21,1663817
lucerne,scheduled_export,2026-08,17,1125857
lucerne,scheduled_export,2026-09,51,1406017
margie,export,2026-07,41,1758705
margie,export,2026-08,12,1352403
margie,export,2026-09,50,1967348
margie,scheduled_export,2026-07,35,1758705
margie,scheduled_export,2026-08,28,1352403
margie,scheduled_export,2026-09,44,1967348
northridge,export,2026-07,31,2563149
northridge,export,2026-08,5,1656177
northridge,export,2026-09,86,2241652
northridge,scheduled_export,2026-07,29,2563149
northridge,scheduled_export,2026-08,0,1656177
northridge,scheduled_export,2026-09,65,2241652
northwind,export,2026-07,104,2125750
northwind,export,2026-08,29,1140041
northwind,export,2026-09,16,1096117
northwind,scheduled_export,2026-07,28,2125750
northwind,scheduled_export,2026-08,43,1140041
northwind,scheduled_export,2026-09,69,1096117
proseware,export,2026-07,34,2019136
proseware,export,2026-08,80,885194
proseware,export,2026-09,87,825904
proseware,scheduled_export,2026-07,12,2019136
proseware,scheduled_export,2026-08,39,885194
proseware,scheduled_export,2026-09,62,825904
relecloud,export,2026-07,57,877385
relecloud,export,2026-08,102,1839525
relecloud,export,2026-09,22,2067301
relecloud,scheduled_export,2026-07,45,877385
relecloud,scheduled_export,2026-08,46,1839525
relecloud,scheduled_export,2026-09,52,2067301
southridge,export,2026-07,83,1134958
southridge,export,2026-08,21,2079363
southridge,export,2026-09,92,1375136
southridge,scheduled_export,2026-07,36,1134958
southridge,scheduled_export,2026-08,1,2079363
southridge,scheduled_export,2026-09,75,1375136
tailspin,export,2026-07,72,40430
tailspin,export,2026-08,48,268429
tailspin,export,2026-09,73,544010
tailspin,scheduled_export,2026-07,16,40430
tailspin,scheduled_export,2026-08,3,268429
tailspin,scheduled_export,2026-09,79,544010
trey,export,2026-07,81,1712367
trey,export,2026-08,89,1659164
trey,export,2026-09,27,2219979
trey,scheduled_export,2026-07,15,1712367
trey,scheduled_export,2026-08,25,1659164
trey,scheduled_export,2026-09,36,2219979
wide-world,export,2026-07,9,1053393
wide-world,export,2026-08,101,2051780
wide-world,export,2026-09,42,2274232
wide-world,scheduled_export,2026-07,5,1053393
wide-world,scheduled_export,2026-08,43,2051780
wide-world,scheduled_export,2026-09,69,2274232
wingtip,export,2026-07,34,552736
wingtip,export,2026-08,84,831200
wingtip,export,2026-09,107,426157
wingtip,scheduled_export,2026-07,3,552736
wingtip,scheduled_export,2026-08,56,831200
wingtip,scheduled_export,2026-09,26,426157
