key,created,tenant,component,category,root_cause,hours,status,summary
JIRA-4499,2026-07-01,fabrikam,reports/scheduling,user-config,schedule timezone / DST confusion,1.4,closed,Empty scheduled report since Monday
JIRA-4517,2026-07-01,contoso,api/rate-limits,doc-gap,api rate limit — undocumented connector load,1.0,closed,Power BI refresh fails with 429
JIRA-4524,2026-07-01,northwind,api/rate-limits,doc-gap,api rate limit — undocumented connector load,1.2,closed,Tableau extract gets throttled
JIRA-4607,2026-07-01,fabrikam,api/authentication,user-config,login / token expiry,0.4,escalated,Token expired mid-export
JIRA-4640,2026-07-01,adventure-works,reports/export,feature-request,feature request: async export with notification,0.4,resolved,Export shouldn't block the browser
JIRA-4488,2026-07-02,northwind,reports/scheduling,user-config,schedule timezone / DST confusion,0.7,resolved,Report emails stopped after timezone change
JIRA-4403,2026-07-03,contoso,reports/export,product,export timeout on large report,1.2,resolved,Export of R-3311 returns 504 after 30 s
JIRA-4617,2026-07-03,contoso,api/authentication,user-config,login / token expiry,0.3,resolved,Token expired mid-export
JIRA-4574,2026-07-04,adventure-works,reports/builder,how-to,how-to: report builder time windows,0.3,resolved,How does previous_business_day handle weekends?
JIRA-4598,2026-07-04,contoso,integrations/webhooks,by-design,webhook retries exhausted,0.9,escalated,Completion event not received
JIRA-4553,2026-07-05,contoso,reports/export,product,xlsx date rendered as text,0.6,resolved,Dates in XLSX export are text
JIRA-4500,2026-07-07,contoso,reports/scheduling,user-config,schedule timezone / DST confusion,1.3,resolved,Scheduled email arrives 4 hours early
JIRA-4539,2026-07-07,northwind,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.5,resolved,Rate limit hit although we barely use the API
JIRA-4644,2026-07-07,northwind,other,other,misc / duplicate,0.3,escalated,Question answered by phone
JIRA-4627,2026-07-08,northwind,dashboards,product,dashboard tile stale after filter,0.8,resolved,Dashboard tile does not refresh
JIRA-4413,2026-07-09,tailspin,reports/export,product,export timeout on large report,1.7,closed,Large export fails — timeout
JIRA-4470,2026-07-09,contoso,reports/export,product,export timeout on large report,1.1,escalated,"504 on export, report has >1M rows"
JIRA-4520,2026-07-09,contoso,api/rate-limits,doc-gap,api rate limit — undocumented connector load,1.0,resolved,Tableau extract gets throttled
JIRA-4653,2026-07-09,fabrikam,other,other,misc / duplicate,0.3,resolved,Duplicate of earlier ticket
JIRA-4480,2026-07-10,fabrikam,reports/scheduling,user-config,schedule timezone / DST confusion,1.1,closed,Report emails stopped after timezone change
JIRA-4559,2026-07-11,northwind,reports/export,product,xlsx date rendered as text,0.5,resolved,Excel shows dates as strings
JIRA-4429,2026-07-12,adventure-works,reports/export,product,export timeout on large report,2.1,resolved,"504 on export, report has >1M rows"
JIRA-4647,2026-07-13,fabrikam,other,other,misc / duplicate,0.4,resolved,Duplicate of earlier ticket
JIRA-4490,2026-07-14,northwind,reports/scheduling,user-config,schedule timezone / DST confusion,0.9,escalated,Schedule ran at the wrong time after DST
JIRA-4552,2026-07-14,adventure-works,reports/export,product,xlsx date rendered as text,0.7,resolved,Excel shows dates as strings
JIRA-4462,2026-07-15,contoso,reports/export,product,export timeout on large report,1.9,resolved,Nightly export never completes for R-3311
JIRA-4482,2026-07-15,tailspin,reports/scheduling,user-config,schedule timezone / DST confusion,1.2,resolved,Scheduled email arrives 4 hours early
JIRA-4603,2026-07-15,fabrikam,integrations/webhooks,by-design,webhook retries exhausted,0.6,resolved,Webhook stopped firing
JIRA-4650,2026-07-15,contoso,other,other,misc / duplicate,0.4,closed,Closed — no response
JIRA-4401,2026-07-16,fabrikam,reports/export,product,export timeout on large report,1.8,resolved,Nightly export never completes for R-4405
JIRA-4595,2026-07-16,contoso,integrations/webhooks,by-design,webhook retries exhausted,0.7,closed,Completion event not received
JIRA-4410,2026-07-17,contoso,reports/export,product,export timeout on large report,1.2,escalated,Large export fails — timeout
JIRA-4498,2026-07-18,contoso,reports/scheduling,user-config,schedule timezone / DST confusion,0.8,resolved,Empty scheduled report since Monday
JIRA-4557,2026-07-18,contoso,reports/export,product,xlsx date rendered as text,0.5,escalated,Excel shows dates as strings
JIRA-4630,2026-07-18,northwind,dashboards,product,dashboard tile stale after filter,1.3,closed,Filter change not reflected in tile
JIRA-4421,2026-07-19,fabrikam,reports/export,product,export timeout on large report,1.6,resolved,"504 on export, report has >1M rows"
JIRA-4467,2026-07-20,contoso,reports/export,product,export timeout on large report,2.0,resolved,Export of R-3310 returns 504 after 30 s
JIRA-4526,2026-07-20,tailspin,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.7,escalated,Power BI refresh fails with 429
JIRA-4504,2026-07-21,contoso,reports/scheduling,user-config,schedule timezone / DST confusion,1.4,closed,Report emails stopped after timezone change
JIRA-4619,2026-07-21,contoso,api/authentication,user-config,login / token expiry,0.3,resolved,API script fails with 401 after an hour
JIRA-4416,2026-07-23,northwind,reports/export,product,export timeout on large report,1.8,escalated,"504 on export, report has >1M rows"
JIRA-4493,2026-07-25,tailspin,reports/scheduling,user-config,schedule timezone / DST confusion,1.4,escalated,Scheduled email arrives 4 hours early
JIRA-4566,2026-07-25,northwind,reports/builder,how-to,how-to: report builder time windows,0.4,closed,Custom window ignores timezone?
JIRA-4620,2026-07-25,fabrikam,api/authentication,user-config,login / token expiry,0.4,resolved,API script fails with 401 after an hour
JIRA-4596,2026-07-27,contoso,integrations/webhooks,by-design,webhook retries exhausted,0.9,escalated,Completion event not received
JIRA-4623,2026-07-30,tailspin,dashboards,product,dashboard tile stale after filter,0.9,escalated,Filter change not reflected in tile
JIRA-4614,2026-07-31,contoso,api/authentication,user-config,login / token expiry,0.4,closed,Token expired mid-export
JIRA-4463,2026-08-01,adventure-works,reports/export,product,export timeout on large report,1.2,resolved,Export of R-5002 returns 504 after 30 s
JIRA-4562,2026-08-01,fabrikam,reports/export,product,xlsx date rendered as text,0.8,closed,Excel shows dates as strings
JIRA-4576,2026-08-02,fabrikam,reports/builder,how-to,how-to: report builder time windows,0.6,resolved,Custom window ignores timezone?
JIRA-4594,2026-08-02,fabrikam,integrations/webhooks,by-design,webhook retries exhausted,0.9,resolved,Completion event not received
JIRA-4511,2026-08-03,contoso,reports/scheduling,user-config,schedule timezone / DST confusion,1.2,closed,Scheduled email arrives 4 hours early
JIRA-4514,2026-08-03,northwind,reports/scheduling,user-config,schedule timezone / DST confusion,1.3,resolved,Empty scheduled report since Monday
JIRA-4633,2026-08-03,tailspin,reports/export,feature-request,feature request: async export with notification,0.4,resolved,Can exports run in the background?
JIRA-4433,2026-08-04,adventure-works,reports/export,product,export timeout on large report,1.0,resolved,Nightly export never completes for R-5001
JIRA-4441,2026-08-04,northwind,reports/export,product,export timeout on large report,2.0,resolved,Nightly export never completes for R-2291
JIRA-4508,2026-08-05,fabrikam,reports/scheduling,user-config,schedule timezone / DST confusion,1.5,closed,Scheduled email arrives 4 hours early
JIRA-4528,2026-08-05,contoso,api/rate-limits,doc-gap,api rate limit — undocumented connector load,1.0,resolved,Power BI refresh fails with 429
JIRA-4558,2026-08-05,northwind,reports/export,product,xlsx date rendered as text,0.6,resolved,Excel shows dates as strings
JIRA-4622,2026-08-05,northwind,api/authentication,user-config,login / token expiry,0.2,escalated,Token expired mid-export
JIRA-4600,2026-08-06,contoso,integrations/webhooks,by-design,webhook retries exhausted,0.8,closed,Webhook stopped firing
JIRA-4485,2026-08-08,fabrikam,reports/scheduling,user-config,schedule timezone / DST confusion,0.5,escalated,Report emails stopped after timezone change
JIRA-4529,2026-08-08,northwind,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.5,closed,Power BI refresh fails with 429
JIRA-4432,2026-08-09,fabrikam,reports/export,product,export timeout on large report,1.4,resolved,Export of R-4405 returns 504 after 30 s
JIRA-4573,2026-08-09,northwind,reports/builder,how-to,how-to: report builder time windows,0.4,escalated,How does previous_business_day handle weekends?
JIRA-4579,2026-08-09,northwind,reports/builder,how-to,how-to: report builder time windows,0.6,escalated,Custom window ignores timezone?
JIRA-4606,2026-08-09,adventure-works,integrations/webhooks,by-design,webhook retries exhausted,0.7,resolved,Webhook stopped firing
JIRA-4634,2026-08-09,contoso,reports/export,feature-request,feature request: async export with notification,0.5,resolved,Can exports run in the background?
JIRA-4502,2026-08-10,northwind,reports/scheduling,user-config,schedule timezone / DST confusion,0.6,resolved,Scheduled email arrives 4 hours early
JIRA-4507,2026-08-10,northwind,reports/scheduling,user-config,schedule timezone / DST confusion,1.3,escalated,Scheduled email arrives 4 hours early
JIRA-4545,2026-08-10,adventure-works,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.7,closed,Tableau extract gets throttled
JIRA-4408,2026-08-11,fabrikam,reports/export,product,export timeout on large report,1.7,resolved,Large export fails — timeout
JIRA-4474,2026-08-11,contoso,reports/export,product,export timeout on large report,1.3,closed,Export of R-3310 returns 504 after 30 s
JIRA-4404,2026-08-12,contoso,reports/export,product,export timeout on large report,1.5,resolved,Large export fails — timeout
JIRA-4629,2026-08-12,contoso,dashboards,product,dashboard tile stale after filter,0.6,resolved,Filter change not reflected in tile
JIRA-4443,2026-08-15,tailspin,reports/export,product,export timeout on large report,1.2,closed,Export of R-6001 returns 504 after 30 s
JIRA-4512,2026-08-15,fabrikam,reports/scheduling,user-config,schedule timezone / DST confusion,1.1,resolved,Schedule ran at the wrong time after DST
JIRA-4615,2026-08-15,contoso,api/authentication,user-config,login / token expiry,0.5,resolved,API script fails with 401 after an hour
JIRA-4549,2026-08-16,northwind,reports/export,product,xlsx date rendered as text,0.6,resolved,Excel shows dates as strings
JIRA-4624,2026-08-16,northwind,dashboards,product,dashboard tile stale after filter,1.0,resolved,Dashboard tile does not refresh
JIRA-4496,2026-08-18,tailspin,reports/scheduling,user-config,schedule timezone / DST confusion,0.8,resolved,Scheduled email arrives 4 hours early
JIRA-4455,2026-08-19,northwind,reports/export,product,export timeout on large report,1.3,escalated,Export of R-2291 returns 504 after 30 s
JIRA-4538,2026-08-19,tailspin,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.9,escalated,Tableau extract gets throttled
JIRA-4418,2026-08-20,fabrikam,reports/export,product,export timeout on large report,1.8,resolved,"504 on export, report has >1M rows"
JIRA-4555,2026-08-21,fabrikam,reports/export,product,xlsx date rendered as text,0.7,resolved,Excel shows dates as strings
JIRA-4578,2026-08-22,adventure-works,reports/builder,how-to,how-to: report builder time windows,0.4,closed,Custom window ignores timezone?
JIRA-4637,2026-08-22,adventure-works,reports/export,feature-request,feature request: async export with notification,0.3,resolved,Can exports run in the background?
JIRA-4412,2026-08-23,fabrikam,reports/export,product,export timeout on large report,1.5,escalated,Export of R-4402 returns 504 after 30 s
JIRA-4444,2026-08-23,contoso,reports/export,product,export timeout on large report,1.9,resolved,Export of R-3311 returns 504 after 30 s
JIRA-4537,2026-08-23,northwind,api/rate-limits,doc-gap,api rate limit — undocumented connector load,1.1,resolved,Power BI refresh fails with 429
JIRA-4471,2026-08-24,northwind,reports/export,product,export timeout on large report,2.5,escalated,Nightly export never completes for R-2291
JIRA-4533,2026-08-24,adventure-works,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.9,escalated,Tableau extract gets throttled
JIRA-4609,2026-08-26,northwind,api/authentication,user-config,login / token expiry,0.4,resolved,Token expired mid-export
JIRA-4464,2026-08-27,fabrikam,reports/export,product,export timeout on large report,1.6,resolved,Export of R-4402 returns 504 after 30 s
JIRA-4426,2026-08-28,contoso,reports/export,product,export timeout on large report,1.1,resolved,Large export fails — timeout
JIRA-4643,2026-08-28,contoso,other,other,misc / duplicate,0.3,resolved,Closed — no response
JIRA-4645,2026-08-30,northwind,other,other,misc / duplicate,0.5,resolved,Duplicate of earlier ticket
JIRA-4459,2026-08-31,tailspin,reports/export,product,export timeout on large report,2.3,resolved,Export of R-6001 returns 504 after 30 s
JIRA-4580,2026-08-31,adventure-works,reports/builder,how-to,how-to: report builder time windows,0.3,resolved,Custom window ignores timezone?
JIRA-4584,2026-08-31,northwind,reports/builder,how-to,how-to: report builder time windows,0.5,resolved,How does previous_business_day handle weekends?
JIRA-4405,2026-09-01,northwind,reports/export,product,export timeout on large report,2.2,closed,Nightly export never completes for R-2291
JIRA-4522,2026-09-01,contoso,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.6,closed,Rate limit hit although we barely use the API
JIRA-4548,2026-09-01,northwind,api/rate-limits,doc-gap,api rate limit — undocumented connector load,1.2,resolved,429 errors since enabling BI connector
JIRA-4460,2026-09-03,fabrikam,reports/export,product,export timeout on large report,1.9,resolved,"504 on export, report has >1M rows"
JIRA-4608,2026-09-03,adventure-works,api/authentication,user-config,login / token expiry,0.3,escalated,API script fails with 401 after an hour
JIRA-4475,2026-09-04,northwind,reports/export,product,export timeout on large report,2.3,closed,Export of R-2291 returns 504 after 30 s
JIRA-4621,2026-09-04,contoso,api/authentication,user-config,login / token expiry,0.4,closed,Token expired mid-export
JIRA-4656,2026-09-04,fabrikam,other,other,misc / duplicate,0.3,escalated,Closed — no response
JIRA-4430,2026-09-05,contoso,reports/export,product,export timeout on large report,2.4,resolved,Nightly export never completes for R-3310
JIRA-4505,2026-09-05,adventure-works,reports/scheduling,user-config,schedule timezone / DST confusion,1.2,resolved,Empty scheduled report since Monday
JIRA-4591,2026-09-05,tailspin,reports/builder,how-to,how-to: report builder time windows,0.4,closed,How does previous_business_day handle weekends?
JIRA-4532,2026-09-06,northwind,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.9,escalated,429 errors since enabling BI connector
JIRA-4625,2026-09-06,fabrikam,dashboards,product,dashboard tile stale after filter,1.0,closed,Dashboard tile does not refresh
JIRA-4535,2026-09-07,contoso,api/rate-limits,doc-gap,api rate limit — undocumented connector load,1.0,closed,429 errors since enabling BI connector
JIRA-4542,2026-09-07,contoso,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.5,escalated,429 errors since enabling BI connector
JIRA-4569,2026-09-07,fabrikam,reports/builder,how-to,how-to: report builder time windows,0.3,closed,How does previous_business_day handle weekends?
JIRA-4424,2026-09-08,contoso,reports/export,product,export timeout on large report,2.3,escalated,Export of R-3311 returns 504 after 30 s
JIRA-4478,2026-09-08,tailspin,reports/scheduling,user-config,schedule timezone / DST confusion,0.8,resolved,Report emails stopped after timezone change
JIRA-4564,2026-09-08,northwind,reports/export,product,xlsx date rendered as text,0.6,resolved,Dates in XLSX export are text
JIRA-4638,2026-09-08,tailspin,reports/export,feature-request,feature request: async export with notification,0.5,resolved,Export shouldn't block the browser
JIRA-4652,2026-09-08,fabrikam,other,other,misc / duplicate,0.4,escalated,Question answered by phone
JIRA-4450,2026-09-09,northwind,reports/export,product,export timeout on large report,2.0,resolved,"504 on export, report has >1M rows"
JIRA-4571,2026-09-09,fabrikam,reports/builder,how-to,how-to: report builder time windows,0.5,resolved,How does previous_business_day handle weekends?
JIRA-4612,2026-09-09,contoso,api/authentication,user-config,login / token expiry,0.3,escalated,Token expired mid-export
JIRA-4589,2026-09-10,northwind,reports/builder,how-to,how-to: report builder time windows,0.4,resolved,Month-to-date starts on wrong day
JIRA-4438,2026-09-11,northwind,reports/export,product,export timeout on large report,1.7,resolved,Large export fails — timeout
JIRA-4466,2026-09-11,tailspin,reports/export,product,export timeout on large report,1.9,resolved,Export of R-6001 returns 504 after 30 s
JIRA-4486,2026-09-11,fabrikam,reports/scheduling,user-config,schedule timezone / DST confusion,0.9,closed,Schedule ran at the wrong time after DST
JIRA-4513,2026-09-11,northwind,reports/scheduling,user-config,schedule timezone / DST confusion,1.4,resolved,Scheduled email arrives 4 hours early
JIRA-4582,2026-09-11,fabrikam,reports/builder,how-to,how-to: report builder time windows,0.2,resolved,Custom window ignores timezone?
JIRA-4587,2026-09-11,adventure-works,reports/builder,how-to,how-to: report builder time windows,0.3,resolved,How does previous_business_day handle weekends?
JIRA-4604,2026-09-11,contoso,integrations/webhooks,by-design,webhook retries exhausted,1.0,resolved,Completion event not received
JIRA-4447,2026-09-13,contoso,reports/export,product,export timeout on large report,1.7,resolved,"504 on export, report has >1M rows"
JIRA-4457,2026-09-13,fabrikam,reports/export,product,export timeout on large report,1.6,resolved,"504 on export, report has >1M rows"
JIRA-4436,2026-09-14,adventure-works,reports/export,product,export timeout on large report,2.3,resolved,Export of R-5001 returns 504 after 30 s
JIRA-4452,2026-09-14,contoso,reports/export,product,export timeout on large report,1.2,closed,Large export fails — timeout
JIRA-4536,2026-09-15,fabrikam,api/rate-limits,doc-gap,api rate limit — undocumented connector load,0.9,closed,Tableau extract gets throttled
JIRA-4821,2026-09-16,northwind,reports/export,,,0.0,open,Report export fails with a 504 since this morning
JIRA-4907,2026-09-16,contoso,reports/scheduling,,,0.0,open,Scheduled report emails stopped arriving since Monday
JIRA-4933,2026-09-16,fabrikam,api/rate-limits,,,0.0,open,Power BI refresh fails with 429 since yesterday afternoon
